DDT	Lect.ini	Lect.fin	Diferencia	Volumen (m3)	m3.ha	Tratamiento	Siembra
37	24824	24842	18	180	55.38461538	CropX	1
38	24886	24904	18	180	55.38461538	CropX	1
39	24921	24940	19	190	58.46153846	CropX	1
40	24959	24971	12	120	36.92307692	CropX	1
41	24992	25002	10	100	30.76923077	CropX	1
42	25020	25033	13	130	40	CropX	1
43	25053	25065	12	120	36.92307692	CropX	1
44	25089	25107	18	180	55.38461538	CropX	1
45	25127	25140	13	130	40	CropX	1
46	25152	25166	14	140	43.07692308	CropX	1
47	25192	25210	18	180	55.38461538	CropX	1
48	25230	25242	12	120	36.92307692	CropX	1
49	25301	25309	8	80	24.61538462	CropX	1
50	25337	25345	8	80	24.61538462	CropX	1
51	25366	25378	12	120	36.92307692	CropX	1
52	25415	25427	12	120	36.92307692	CropX	1
53	25436	25469	33	330	101.5384615	CropX	1
54	25489	25502	13	130	40	CropX	1
57	25561	25568	7	70	21.53846154	CropX	1
58	25640	25661	21	210	64.61538462	CropX	1
62	25760	25771	11	110	33.84615385	CropX	1
0	26799	26809	10	100	40	Testigo	2
1	26865	26872	7	70	28	Testigo	2
2	26884	26896	12	120	48	Testigo	2
3	26979	26991	12	120	48	Testigo	2
4	27019	27031	12	120	48	Testigo	2
5	27031	27042	11	110	44	Testigo	2
6	27146	27158	12	120	48	Testigo	2
7	27235	27247	12	120	48	Testigo	2
8	27318	27328	10	100	40	Testigo	2
10	27457	27468	11	110	44	Testigo	2
11	27535	27546	11	110	44	Testigo	2
12	27631	27641	10	100	40	Testigo	2
13	27731	27741	10	100	40	Testigo	2
14	27827	27838	11	110	44	Testigo	2
15	27922	27930	8	80	32	Testigo	2
18	28059	28070	11	110	44	Testigo	2
19	28246	28252	6	60	24	Testigo	2
20	28337	28342	5	50	20	Testigo	2
21	28419	28440	21	210	84	Testigo	2
22	28519	28530	11	110	44	Testigo	2
23	28604	28609	5	50	20	Testigo	2
24	28675	28681	6	60	24	Testigo	2
25	28758	28774	16	160	64	Testigo	2
26	28844	28855	11	110	44	Testigo	2
27	28943	28960	17	170	68	Testigo	2
28	29019	29029	10	100	40	Testigo	2
29	29097	29109	12	120	48	Testigo	2
30	29195	29205	10	100	40	Testigo	2
31	29257	29275	18	180	72	Testigo	2
32	29339	29350	11	110	44	Testigo	2
33	29361	29371	10	100	40	Testigo	2
34	29441	29460	19	190	76	Testigo	2
35	29471	29482	11	110	44	Testigo	2
